keys,en,es
SOFA HRTF library. [member hrtf_sofa_selected_index] picks the active entry. Empty = default embedded HRTF.,SOFA HRTF library. [member hrtf_sofa_selected_index] picks the active entry. Empty = default embedded HRTF.,Biblioteca SOFA HRTF. [member hrtf_sofa_selected_index] elige la entrada activa. Vacío = HRTF integrado por defecto.
"Sample rate override. Use Godot Mix Rate to follow Project Settings.
Only override when you know the whole project runs at that rate; there is no resampling and mismatches can cause artifacts.","Sample rate override. Use Godot Mix Rate to follow Project Settings.
Only override when you know the whole project runs at that rate; there is no resampling and mismatches can cause artifacts.","Sobrescribir frecuencia de muestreo. Usa Godot Mix Rate para seguir los Ajustes del Proyecto.
Sobrescribe solo cuando sepas que todo el proyecto se ejecuta a esa frecuencia; no hay remuestreo y las diferencias pueden causar artefactos."
Samples before parametric part starts. -1 = use simulation value.,Samples before parametric part starts. -1 = use simulation value.,Muestras antes de que comience la parte paramétrica. -1 = usa el valor de simulación.
"Scales [member direct_mix_level], [member reflections_mix_level], and [member pathing_mix_level] together.
Use for overall source level when the stream has no reliable volume (e.g. AudioStreamSynchronized).","Scales [member direct_mix_level], [member reflections_mix_level], and [member pathing_mix_level] together.
Use for overall source level when the stream has no reliable volume (e.g. AudioStreamSynchronized).","Escala en conjunto [member direct_mix_level], [member reflections_mix_level] y [member pathing_mix_level].
Úsalo para el nivel general de la fuente cuando el flujo no tenga un volumen confiable (por ejemplo, AudioStreamSynchronized)."
Seconds added to the effective reflection interval each time the worker exceeds [member reflections_adaptive_budget_us].,Seconds added to the effective reflection interval each time the worker exceeds [member reflections_adaptive_budget_us].,Segundos añadidos al intervalo de reflexión efectivo cada vez que el hilo de trabajo supera [member reflections_adaptive_budget_us].
"Shape: 0 = Omnidirectional, 1 = Dipole (figure-8). Intermediate = blend. Only when directivity_input is Simulation.","Shape: 0 = Omnidirectional, 1 = Dipole (figure-8). Intermediate = blend. Only when directivity_input is Simulation.","Forma: 0 = Omnidireccional, 1 = Dipolo (figura de 8). Intermedio = mezcla. Solo cuando directivity_input es Simulation."
"Sharpness of the directivity pattern. 0 = broad cone, 4 = narrow beam. Only when directivity_input is Simulation.","Sharpness of the directivity pattern. 0 = broad cone, 4 = narrow beam. Only when directivity_input is Simulation.","Nitidez del patrón de directividad. 0 = cono ancho, 4 = haz estrecho. Solo cuando directivity_input es Simulation."
Simulator cap for volumetric occlusion samples (Steam Audio [code]maxNumOcclusionSamples[/code]). Per-source [member ResonancePlayerConfig.occlusion_samples] are clamped to this.,Simulator cap for volumetric occlusion samples (Steam Audio [code]maxNumOcclusionSamples[/code]). Per-source [member ResonancePlayerConfig.occlusion_samples] are clamped to this.,Límite del simulador para muestras de oclusión volumétrica (Steam Audio [code]maxNumOcclusionSamples[/code]). Las [member ResonancePlayerConfig.occlusion_samples] por fuente se limitan a esto.
"Steam Audio processing block size in samples per channel per [code]iplAudioEffectApply[/code] call.
For stable routing it should match Godot's mix buffer size (reverb bus frame_count).
Auto picks the closest of 256/512/1024/2048 from [code]audio/driver/output_latency[/code] and the current mix rate.","Steam Audio processing block size in samples per channel per [code]iplAudioEffectApply[/code] call.
For stable routing it should match Godot's mix buffer size (reverb bus frame_count).
Auto picks the closest of 256/512/1024/2048 from [code]audio/driver/output_latency[/code] and the current mix rate.","Tamaño del bloque de procesamiento de Steam Audio en muestras por canal por llamada a [code]iplAudioEffectApply[/code].
Para un enrutamiento estable, debe coincidir con el tamaño del búfer de mezcla de Godot (frame_count del bus de reverberación).
Auto elige el más cercano entre 256/512/1024/2048 a partir de [code]audio/driver/output_latency[/code] y la frecuencia de mezcla actual."
Transmission source: Simulation Defined = physics-based. User Defined = use transmission low/mid/high (script-controlled).,Transmission source: Simulation Defined = physics-based. User Defined = use transmission low/mid/high (script-controlled).,Origen de transmisión: Definido por simulación = basado en física. Definido por usuario = usa transmisión baja/media/alta (controlada por script).
Upper bound (seconds) for extra delay from adaptive reflection scheduling.,Upper bound (seconds) for extra delay from adaptive reflection scheduling.,Límite de tiempo (segundos) para el retraso adicional de la programación de reflexiones adaptativa.
"Upper bound for reverb IR allocation (seconds). Higher values increase memory/CPU.
This is an allocation/mixer cap, not the per-tick realtime simulation length (see [member realtime_simulation_duration]).","Upper bound for reverb IR allocation (seconds). Higher values increase memory/CPU.
This is an allocation/mixer cap, not the per-tick realtime simulation length (see [member realtime_simulation_duration]).","Límite superior para la asignación de IR de reverberación (segundos). Valores más altos aumentan el uso de memoria/CPU.
Este es un límite de asignación/mezclador, no la longitud de la simulación en tiempo real por ciclo (ver [member realtime_simulation_duration])."
Use Global vs cap [member max_transmission_surfaces]. Legacy [code]-1[/code] → Use Global.,Use Global vs cap [member max_transmission_surfaces]. Legacy [code]-1[/code] → Use Global.,Usar global frente a limitar [member max_transmission_surfaces]. El valor heredado [code]-1[/code] → Usar global.
"Use virtual surround instead of HRTF. Simpler, less accurate.","Use virtual surround instead of HRTF. Simpler, less accurate.","Usa sonido envolvente virtual en lugar de HRTF. Más simple, menos preciso."
Volume of pathing (multi-path propagation). Range 0-10. Requires baked pathing data.,Volume of pathing (multi-path propagation). Range 0-10. Requires baked pathing data.,Volumen del trazado de rutas (propagación por múltiples rutas). Rango 0-10. Requiere datos de trazado horneados.
Volume of reflections and reverb. Range 0-10. 1.0 = nominal.,Volume of reflections and reverb. Range 0-10. 1.0 = nominal.,Volumen de reflexiones y reverberación. Rango 0-10. 1.0 = nominal.
Volume of the direct (line-of-sight) sound path. Range 0-10. 1.0 = nominal.,Volume of the direct (line-of-sight) sound path. Range 0-10. 1.0 = nominal.,Volumen de la ruta de sonido directo (línea de visión). Rango 0-10. 1.0 = nominal.
Wet occlusion on baked REVERB: Use Global / Off / On (outdoor leak vs indoor beds). See docs/baked-reflections-and-outdoor-sources.md.,Wet occlusion on baked REVERB: Use Global / Off / On (outdoor leak vs indoor beds). See docs/baked-reflections-and-outdoor-sources.md.,Oclusión de efecto (wet) en REVERBERACIÓN horneada: Usar global / Desactivado / Activado (filtrado exterior frente a lechos interiores). Consulta docs/baked-reflections-and-outdoor-sources.md.
"When [code]iplSceneCommit[/code] took at least this many microseconds, skip reflections this wake and retry next frame.
0 = off.","When [code]iplSceneCommit[/code] took at least this many microseconds, skip reflections this wake and retry next frame.
0 = off.","Cuando [code]iplSceneCommit[/code] tarda al menos este número de microsegundos, omite las reflexiones en este ciclo e inténtalo en el siguiente fotograma.
0 = desactivado."
"When off, occlusion is not simulated for this source; use User Defined [member occlusion_input] for manual occlusion.","When off, occlusion is not simulated for this source; use User Defined [member occlusion_input] for manual occlusion.","Cuando está desactivado, no se simula la oclusión para esta fuente; usa la oclusión definida por el usuario [member occlusion_input] para oclusión manual."
"When off, transmission through geometry is not simulated; use User Defined [member transmission_input] for manual bands.","When off, transmission through geometry is not simulated; use User Defined [member transmission_input] for manual bands.","Cuando está desactivado, no se simula la transmisión a través de la geometría; usa la transmisión definida por el usuario [member transmission_input] para bandas manuales."
"When on, players enqueue source updates and ResonanceRuntime applies them once per frame (reduces lock contention).","When on, players enqueue source updates and ResonanceRuntime applies them once per frame (reduces lock contention).","Cuando está activado, los reproductores encolan las actualizaciones de origen y ResonanceRuntime las aplica una vez por fotograma (reduce la contienda por bloqueos)."
When reflections_type is Baked Static Listener: reference to the node (e.g. listener/camera) whose position was baked. Leave empty to use active listener.,When reflections_type is Baked Static Listener: reference to the node (e.g. listener/camera) whose position was baked. Leave empty to use active listener.,"Cuando reflections_type es Baked Static Listener: referencia al nodo (por ejemplo, oyente/cámara) cuya posición fue horneada. Déjalo vacío para usar el oyente activo."
When reflections_type is Baked Static Source: reference to the node whose position was baked as static source. Leave empty to use this player's position.,When reflections_type is Baked Static Source: reference to the node whose position was baked as static source. Leave empty to use this player's position.,Cuando reflections_type es Baked Static Source: referencia al nodo cuya posición fue horneada como fuente estática. Déjalo vacío para usar la posición de este reproductor.
"[b]Direct Sim Interval[/b] - Minimum seconds between [code]iplSimulatorRunDirect[/code] on worker wakes when reflection/pathing heavy work is not scheduled for that wake (or after heavy work is skipped). Throttles **direct-path occlusion, transmission, air absorption** independently of [member reflections_sim_interval] / [member pathing_sim_interval].
[code]0[/code] = run direct every eligible worker wake (default). Try [code]0.02[/code]–[code]0.05[/code] to lower CPU; occlusion may update slightly less often.","[b]Direct Sim Interval[/b] - Minimum seconds between [code]iplSimulatorRunDirect[/code] on worker wakes when reflection/pathing heavy work is not scheduled for that wake (or after heavy work is skipped). Throttles **direct-path occlusion, transmission, air absorption** independently of [member reflections_sim_interval] / [member pathing_sim_interval].
[code]0[/code] = run direct every eligible worker wake (default). Try [code]0.02[/code]–[code]0.05[/code] to lower CPU; occlusion may update slightly less often.","[b]Intervalo de Sim Directo[/b] - Segundos mínimos entre ejecuciones de [code]iplSimulatorRunDirect[/code] en las activaciones del hilo de trabajo cuando no está programado trabajo pesado de reflexión/trazado para esa activación (o tras omitirse el trabajo pesado). Limita la **oclusión de ruta directa, transmisión, absorción de aire** independientemente de [member reflections_sim_interval] / [member pathing_sim_interval].
[code]0[/code] = ejecuta directo en cada activación de trabajo elegible (por defecto). Prueba con [code]0.02[/code]–[code]0.05[/code] para reducir el uso de CPU; la oclusión podría actualizarse con menos frecuencia."
[b]Pathing Sim Interval[/b] - Minimum seconds between scheduling pathing-heavy simulation ([code]iplSimulatorRunPathing[/code]). Same semantics as [member reflections_sim_interval]; set higher to stagger expensive pathing from reflections.,[b]Pathing Sim Interval[/b] - Minimum seconds between scheduling pathing-heavy simulation ([code]iplSimulatorRunPathing[/code]). Same semantics as [member reflections_sim_interval]; set higher to stagger expensive pathing from reflections.,[b]Intervalo de Sim de Trazado de Rutas[/b] - Segundos mínimos entre programaciones de simulación pesada de trazado de rutas ([code]iplSimulatorRunPathing[/code]). Misma semántica que [member reflections_sim_interval]; configúralo más alto para alternar el costoso trazado de rutas con las reflexiones.
[b]Reflections Sim Interval[/b] - Minimum seconds between scheduling reflection-heavy simulation ([code]iplSimulatorRunReflections[/code]). [code]0[/code] = every worker tick (highest CPU). [code]0.1[/code] ≈ 100 ms default. Does not throttle direct occlusion/transmission - see [member direct_sim_interval].,[b]Reflections Sim Interval[/b] - Minimum seconds between scheduling reflection-heavy simulation ([code]iplSimulatorRunReflections[/code]). [code]0[/code] = every worker tick (highest CPU). [code]0.1[/code] ≈ 100 ms default. Does not throttle direct occlusion/transmission - see [member direct_sim_interval].,[b]Intervalo de Sim de Reflexiones[/b] - Segundos mínimos entre programaciones de simulación pesada de reflexiones ([code]iplSimulatorRunReflections[/code]). [code]0[/code] = en cada tick de trabajo (máximo uso de CPU). [code]0.1[/code] ≈ 100 ms por defecto. No limita la oclusión/transmisión directa - ver [member direct_sim_interval].
"[b]Reflections sampling mode[/b]. This controls where baked REVERB chooses its probe from.
[br][b]Listener-centric[/b] = pick the probe nearest the listener (recommended for room reverb).
[br][b]Source-centric[/b] = pick the probe nearest the source (legacy behavior).
[br][br]Note: currently this only affects baked REVERB probe lookup. Steam Audio realtime reflections trace rays from the listener in the core API, so this mode does not yet change realtime ray origin.","[b]Reflections sampling mode[/b]. This controls where baked REVERB chooses its probe from.
[br][b]Listener-centric[/b] = pick the probe nearest the listener (recommended for room reverb).
[br][b]Source-centric[/b] = pick the probe nearest the source (legacy behavior).
[br][br]Note: currently this only affects baked REVERB probe lookup. Steam Audio realtime reflections trace rays from the listener in the core API, so this mode does not yet change realtime ray origin.","[b]Modo de muestreo de reflexiones[/b]. Esto controla de dónde elige su sonda la REVERBERACIÓN horneada.
[br][b]Centrado en el oyente[/b] = elige la sonda más cercana al oyente (recomendado para reverberación de sala).
[br][b]Centrado en la fuente[/b] = elige la sonda más cercana a la fuente (comportamiento heredado).
[br][br]Nota: actualmente esto solo afecta a la búsqueda de sondas de REVERBERACIÓN horneada. Las reflexiones en tiempo real de Steam Audio trazan rayos desde el oyente en la API principal, por lo que este modo aún no cambia el origen de los rayos en tiempo real."
_spatial_binaural_config_version,_spatial_binaural_config_version,Versión de configuración de binaural espacial
Spatial Binaural Config Version,Spatial Binaural Config Version,Versión de configuración de binaural espacial
baked_reflection_type,baked_reflection_type,Tipo de reflexión horneada
Baked Reflection Type,Baked Reflection Type,Tipo de reflexión horneada
probe_positions,probe_positions,Posiciones de sonda
Probe Positions,Probe Positions,Posiciones de sonda
dynamic,dynamic,Dinámico
directivity_weight,directivity_weight,Peso de directividad
default_reflections_mode,default_reflections_mode,Modo de reflexiones por defecto
spatial_blend,spatial_blend,Mezcla espacial
path_validation_override,path_validation_override,Sobrescribir validación de ruta
bake_num_rays,bake_num_rays,Número de rayos de horneado
reverb_transmission_amount_input,reverb_transmission_amount_input,Entrada de cantidad de transmisión de reverb
bake_pathing_path_range,bake_pathing_path_range,Rango de ruta para trazado horneado
show_directivity_gizmo,show_directivity_gizmo,Mostrar gizmo de directividad
static_listener_enabled,static_listener_enabled,Oyente estático habilitado
export_all_children,export_all_children,Exportar todos los hijos
max_occlusion_samples,max_occlusion_samples,Muestras máximas de oclusión
opencl_device_type,opencl_device_type,Tipo de dispositivo OpenCL
realtime_reflection_max_distance,realtime_reflection_max_distance,Distancia máxima de reflexión en tiempo real
physics_ray_collision_mask,physics_ray_collision_mask,Máscara de colisión de rayos de física
output_direct,output_direct,Salida directa
volume_db,volume_db,Volumen (dB)
reflections_adaptive_max_extra_interval,reflections_adaptive_max_extra_interval,Intervalo extra máximo adaptativo de reflexiones
find_alternate_paths_override,find_alternate_paths_override,Sobrescribir buscar rutas alternativas
pathing_num_vis_samples,pathing_num_vis_samples,Muestras de visibilidad de trazado
transmission_low,transmission_low,Transmisión baja
bake_num_bounces,bake_num_bounces,Número de rebotes de horneado
direct_mix_level,direct_mix_level,Nivel de mezcla directo
hrtf_interpolation_bilinear,hrtf_interpolation_bilinear,Interpolación HRTF bilineal
transmission_high,transmission_high,Transmisión alta
transmission_type,transmission_type,Tipo de transmisión
hrtf_normalization_type,hrtf_normalization_type,Tipo de normalización de HRTF
bus,bus,Bus
direct_speaker_channels,direct_speaker_channels,Canales de altavoz directo
opencl_device_index,opencl_device_index,Índice de dispositivo OpenCL
apply_occlusion_to_baked_reflections,apply_occlusion_to_baked_reflections,Aplicar oclusión a reflexiones horneadas
reverb_binaural,reverb_binaural,Binaural de reverberación
reflections_eq_mid,reflections_eq_mid,Ecualización de reflexiones media
bake_influence_radius,bake_influence_radius,Radio de influencia del horneado
event_path,event_path,Ruta del evento
material,material,Material
reverb_transmission_amount,reverb_transmission_amount,Cantidad de transmisión de reverberación
hrtf_sofa_assets,hrtf_sofa_assets,Recursos SOFA de HRTF
reflections_adaptive_ray_min,reflections_adaptive_ray_min,Mínimo de rayos adaptativos de reflexiones
hrtf_interpolation_override,hrtf_interpolation_override,Sobrescribir interpolación HRTF
generation_type,generation_type,Tipo de generación
transmission_mid,transmission_mid,Transmisión media
use_virtual_surround,use_virtual_surround,Usar sonido envolvente virtual
absorption_mid,absorption_mid,Absorción media
dynamic_scene_commit_min_interval,dynamic_scene_commit_min_interval,Intervalo mínimo de commit en escena dinámica
reverb_influence_radius,reverb_influence_radius,Radio de influencia de reverberación
reverb_bus_override,reverb_bus_override,Sobrescribir bus de reverb
apply_hrtf,apply_hrtf,Aplicar HRTF
bus_name,bus_name,Nombre del bus
occlusion_type_override,occlusion_type_override,Sobrescribir tipo de oclusión
hrtf_sofa_selected_index,hrtf_sofa_selected_index,Índice de SOFA HRTF seleccionado
directivity_input,directivity_input,Entrada de directividad
show_probes,show_probes,Mostrar sondas
perspective_correction_factor,perspective_correction_factor,Factor de corrección de perspectiva
air_absorption_enabled,air_absorption_enabled,Absorción de aire habilitada
reflections_sim_interval,reflections_sim_interval,Intervalo de simulación de reflexiones
perspective_correction_enabled,perspective_correction_enabled,Corrección de perspectiva habilitada
playback_parameter_min_move,playback_parameter_min_move,Movimiento mínimo de parámetros de reproducción
ambisonic_order,ambisonic_order,Orden de ambisónicos
direct_sim_interval,direct_sim_interval,Intervalo de simulación directa
reflections_delay,reflections_delay,Retraso de reflexiones
region_size,region_size,Tamaño de la región
reflections_adaptive_ray_recover_cap,reflections_adaptive_ray_recover_cap,Límite de recuperación de rayos adaptativos de reflexiones
auto_play,auto_play,Reproducción automática
simulation_transmission_enabled,simulation_transmission_enabled,Transmisión de simulación habilitada
realtime_simulation_duration,realtime_simulation_duration,Duración de simulación en tiempo real
reflections_sampling_mode,reflections_sampling_mode,Modo de muestreo de reflexiones
simulation_occlusion_enabled,simulation_occlusion_enabled,Oclusión de simulación habilitada
static_source_enabled,static_source_enabled,Fuente estática habilitada
bake_sources,bake_sources,Fuentes de horneado
directivity_enabled,directivity_enabled,Directividad habilitada
realtime_irradiance_min_distance,realtime_irradiance_min_distance,Distancia mínima de irradiancia en tiempo real
reflections_adaptive_budget_us,reflections_adaptive_budget_us,Presupuesto adaptativo de reflexiones (us)
gain_db,gain_db,Ganancia (dB)
mesh_asset,mesh_asset,Recurso de malla
use_ambisonics_encode,use_ambisonics_encode,Usar codificación de ambisónicos
reflections_defer_after_scene_commit_us,reflections_defer_after_scene_commit_us,Retrasar reflexiones tras commit de escena (us)
current_baked_listener,current_baked_listener,Oyente horneado actual
exclude_from_debug,exclude_from_debug,Excluir de depuración
occlusion_samples,occlusion_samples,Muestras de oclusión
reflections_eq_high,reflections_eq_high,Ecualización de reflexiones alta
air_absorption_high,air_absorption_high,Absorción de aire alta
reverb_bus_wet_ring_underrun_zero_fill,reverb_bus_wet_ring_underrun_zero_fill,Llenar con ceros en subdesbordamiento de reverb
attenuation_curve,attenuation_curve,Curva de atenuación
bake_num_threads,bake_num_threads,Número de hilos de horneado
audio_source_node,audio_source_node,Nodo de fuente de audio
pathing_binaural,pathing_binaural,Binaural de trazado
player_config,player_config,Configuración del reproductor
reflections_mix_level,reflections_mix_level,Nivel de mezcla de reflexiones
air_absorption_input,air_absorption_input,Entrada de absorción de aire
occlusion_input,occlusion_input,Entrada de oclusión
probe_data,probe_data,Datos de las sondas
static_scene_asset,static_scene_asset,Recurso de escena estática
absorption_high,absorption_high,Absorción alta
attenuation_mode,attenuation_mode,Modo de atenuación
debug_occlusion,debug_occlusion,Depurar oclusión
transmission,transmission,Transmisión
absorption_low,absorption_low,Absorción baja
ambisonic_orientation_node,ambisonic_orientation_node,Nodo de orientación de ambisónicos
reverb_binaural_override,reverb_binaural_override,Sobrescribir binaural de reverb
height_above_floor,height_above_floor,Altura sobre el suelo
realtime_bounces,realtime_bounces,Rebotes en tiempo real
reverb_bus_name,reverb_bus_name,Nombre del bus de reverberación
input_is_sn3d,input_is_sn3d,Entrada es SN3D
playback_parameter_min_interval,playback_parameter_min_interval,Intervalo mínimo de parámetros de reproducción
show_geometry_override_in_viewport,show_geometry_override_in_viewport,Mostrar sobrescritura en vista
direct_binaural_override,direct_binaural_override,Sobrescribir binaural directo
occlusion_value,occlusion_value,Valor de oclusión
bake_listeners,bake_listeners,Oyentes de horneado
max_reverb_duration,max_reverb_duration,Duración máxima de reverberación
directivity_value,directivity_value,Valor de directividad
current_baked_source,current_baked_source,Fuente horneada actual
master_mix_level,master_mix_level,Nivel de mezcla maestro
reflections_adaptive_ray_recover_frac,reflections_adaptive_ray_recover_frac,Fracción de recuperación de rayos adaptativos de reflexiones
scene_name_when_exported,scene_name_when_exported,Nombre de la escena al exportar
hybrid_reverb_overlap_percent,hybrid_reverb_overlap_percent,Porcentaje de solapamiento de reverb híbrida
max_transmission_surfaces_override,max_transmission_surfaces_override,Sobrescribir superficies de transmisión máximas
bake_pathing_vis_range,bake_pathing_vis_range,Rango de visibilidad para trazado horneado
data,data,Datos
find_alternate_paths,find_alternate_paths,Buscar rutas alternativas
channel_streams,channel_streams,Canales de flujo de audio
listener_valid,listener_valid,Oyente válido
bake_config,bake_config,Configuración de horneado
pathing_binaural_override,pathing_binaural_override,Sobrescribir binaural de trazado
perspective_factor,perspective_factor,Factor de perspectiva
baked_reverb_use_listener_probe,baked_reverb_use_listener_probe,Reverberación horneada usa sonda del oyente
hrtf_volume_db,hrtf_volume_db,Volumen de HRTF (dB)
bake_pathing_radius,bake_pathing_radius,Radio de trazado horneado
bake_pathing_threshold,bake_pathing_threshold,Umbral de trazado horneado
pathing_normalize_eq,pathing_normalize_eq,Ecualización de normalización de trazado
max_simulation_sources,max_simulation_sources,Máximo de fuentes en simulación
hybrid_reverb_transition_time,hybrid_reverb_transition_time,Tiempo de transición de reverb híbrida
pathing_mix_level,pathing_mix_level,Nivel de mezcla de trazado
transmission_input,transmission_input,Entrada de transmisión
export_hash,export_hash,Hash de exportación
norm_type,norm_type,Tipo de normalización
physics_ray_batch_size,physics_ray_batch_size,Tamaño de lote de rayos de física
source_radius,source_radius,Radio de la fuente
enable_debug,enable_debug,Habilitar depuración
bus_override,bus_override,Sobrescribir bus
reflections_adaptive_decay_per_sec,reflections_adaptive_decay_per_sec,Decaimiento adaptativo de reflexiones por segundo
debug_reflections,debug_reflections,Depurar reflexiones
realtime_num_diffuse_samples,realtime_num_diffuse_samples,Muestras difusas en tiempo real
path_validation_enabled,path_validation_enabled,Validación de ruta habilitada
playback_coeff_smoothing_time,playback_coeff_smoothing_time,Tiempo de suavizado de coeficientes
batch_source_updates,batch_source_updates,Actualizaciones de fuente en lote
reflections_enabled,reflections_enabled,Reflexiones habilitadas
simulation_cpu_cores_percent,simulation_cpu_cores_percent,Porcentaje de núcleos de CPU para simulación
pathing_sim_interval,pathing_sim_interval,Intervalo de simulación de trazado
geometry_override,geometry_override,Sobrescribir geometría
use_bed_scene_orientation,use_bed_scene_orientation,Usar orientación de escena base
reflections_adaptive_step_sec,reflections_adaptive_step_sec,Paso en segundos adaptativo de reflexiones
apply_output_gain,apply_output_gain,Aplicar ganancia de salida
spacing,spacing,Espaciado
convolution_ir_max_samples,convolution_ir_max_samples,Muestras máximas de IR de convolución
listener_camera,listener_camera,Cámara del oyente
rotation_enabled,rotation_enabled,Rotación habilitada
output_reverb,output_reverb,Salida de reverberación
scattering,scattering,Dispersión
direct_binaural,direct_binaural,Binaural directo
bake_ambisonics_order,bake_ambisonics_order,Orden ambisónico de horneado
directivity_power,directivity_power,Potencia de directividad
physics_ray_auto_exclude_collision_bodies,physics_ray_auto_exclude_collision_bodies,Auto-excluir cuerpos de colisión en rayos
pathing_probe_volume,pathing_probe_volume,Volumen de sondas para trazado
air_absorption_mid,air_absorption_mid,Absorción de aire media
pathing_enabled_override,pathing_enabled_override,Sobrescribir trazado de rutas habilitado
bake_pathing_num_samples,bake_pathing_num_samples,Muestras para trazado horneado
max_distance,max_distance,Distancia máxima
viz_probe_scale,viz_probe_scale,Escala de visualización de sondas
debug_pathing,debug_pathing,Depurar trazado de rutas
max_transmission_surfaces,max_transmission_surfaces,Superficies de transmisión máximas
air_absorption_low,air_absorption_low,Absorción de aire baja
reverb_bus_click_guard_enabled,reverb_bus_click_guard_enabled,Protección contra clics en reverb
pathing_enabled,pathing_enabled,Trazado de rutas habilitado
convert_animation_audio_tracks_at_runtime,convert_animation_audio_tracks_at_runtime,Convertir pistas de audio en ejecución
min_distance,min_distance,Distancia mínima
occlusion_type,occlusion_type,Tipo de oclusión
reflections_eq_low,reflections_eq_low,Ecualización de reflexiones baja
Baked,Baked,Baked
Realtime,Realtime,Realtime
Convolution,Convolution,Convolution
Parametric,Parametric,Parametric
Hybrid,Hybrid,Hybrid
TrueAudio Next (AMD GPU),TrueAudio Next (AMD GPU),TrueAudio Next (AMD GPU)
Inverse,Inverse,Inverso
Linear,Linear,Lineal
Curve,Curve,Curva
Disabled,Disabled,Desactivado
Enabled,Enabled,Habilitado
Simulation Defined,Simulation Defined,Definido por simulación
User Defined,User Defined,Definido por usuario
Use Global,Use Global,Usar global
Custom,Custom,Personalizado
Raycast,Raycast,Raycast
Volumetric,Volumetric,Volumétrico
Frequency Independent,Frequency Independent,Independiente de frecuencia
Frequency Dependent,Frequency Dependent,Dependiente de frecuencia
Listener-centric,Listener-centric,Centrado en el oyente
Source-centric,Source-centric,Centrado en la fuente
"Physics-ray occlusion preview (Godot collision only - not Steam Audio / Embree geometry).
For real audio occlusion debug, use ResonanceRuntime ""Debug Occlusion"" (native ray data).","Physics-ray occlusion preview (Godot collision only - not Steam Audio / Embree geometry).
For real audio occlusion debug, use ResonanceRuntime ""Debug Occlusion"" (native ray data).","Vista previa de oclusión por física de rayos (solo colisiones de Godot - no geometría de Steam Audio / Embree).
Para la depuración real de oclusión de audio, usa ""Debug Occlusion"" de ResonanceRuntime (datos de rayos nativos)."
Baked Reverb,Baked Reverb,Reverberación horneada
Baked Static Source,Baked Static Source,Fuente estática horneada
Baked Static Listener,Baked Static Listener,Oyente estático horneado
Nearest,Nearest,Más cercano
Bilinear,Bilinear,Bilineal
Use Godot Mix Rate,Use Godot Mix Rate,Usar frecuencia de mezcla de Godot
Auto,Auto,Automático
Mono,Mono,Mono
Stereo,Stereo,Estéreo
Quad,Quad,Quad
5.1,5.1,5.1
7.1,7.1,7.1
22050 Hz,22050 Hz,22050 Hz
44100 Hz,44100 Hz,44100 Hz
48000 Hz,48000 Hz,48000 Hz
96000 Hz,96000 Hz,96000 Hz
192000 Hz,192000 Hz,192000 Hz
256,256,256
512,512,512
1024,1024,1024
2048,2048,2048
8 Rays,8 Rays,8 rayos
16 Rays,16 Rays,16 rayos
32 Rays,32 Rays,32 rayos
64 Rays,64 Rays,64 rayos
128 Rays,128 Rays,128 rayos
256 Rays,256 Rays,256 rayos
512 Rays,512 Rays,512 rayos
1024 Rays,1024 Rays,1024 rayos
2048 Rays,2048 Rays,2048 rayos
4096 Rays,4096 Rays,4096 rayos
8192 Rays,8192 Rays,8192 rayos
FreqIndependent,FreqIndependent,Indep. de frecuencia
FreqDependent,FreqDependent,Dep. de frecuencia
Balanced,Balanced,Equilibrado
Default,Default,Por defecto
Embree,Embree,Embree
Radeon Rays,Radeon Rays,Radeon Rays
Custom (Godot Physics),Custom (Godot Physics),Personalizado (Física de Godot)
GPU,GPU,GPU
CPU,CPU,CPU
Any,Any,Cualquiera
Transmission Type Override,Transmission Type Override,Sobrescribir tipo de transmisión
Apply Occlusion To Baked Reflections Override,Apply Occlusion To Baked Reflections Override,Sobrescribir oclusión a reflexiones horneadas
Reflections Sampling Mode Override,Reflections Sampling Mode Override,Sobrescribir modo de muestreo de reflexiones
Perspective Correction Override,Perspective Correction Override,Sobrescribir corrección de perspectiva
Apply Performance Schedule Preset,Apply Performance Schedule Preset,Aplicar preajuste de rendimiento
AVX-512,AVX-512,AVX-512
AVX2,AVX2,AVX2
AVX,AVX,AVX
ambisonic_order,ambisonic_order,Orden de ambisónicos
direct_sim_interval,direct_sim_interval,Intervalo de simulación directa
reflections_delay,reflections_delay,Retraso de reflexiones
region_size,region_size,Tamaño de la región
reflections_adaptive_ray_recover_cap,reflections_adaptive_ray_recover_cap,Límite de recuperación de rayos adaptativos de reflexiones
auto_play,auto_play,Reproducción automática
simulation_transmission_enabled,simulation_transmission_enabled,Transmisión de simulación habilitada
realtime_simulation_duration,realtime_simulation_duration,Duración de simulación en tiempo real
reflections_sampling_mode,reflections_sampling_mode,Modo de muestreo de reflexiones
simulation_occlusion_enabled,simulation_occlusion_enabled,Oclusión de simulación habilitada
static_source_enabled,static_source_enabled,Fuente estática habilitada
bake_sources,bake_sources,Fuentes de horneado
directivity_enabled,directivity_enabled,Directividad habilitada
realtime_irradiance_min_distance,realtime_irradiance_min_distance,Distancia mínima de irradiancia en tiempo real
reflections_adaptive_budget_us,reflections_adaptive_budget_us,Presupuesto adaptativo de reflexiones (us)
gain_db,gain_db,Ganancia (dB)
mesh_asset,mesh_asset,Recurso de malla
use_ambisonics_encode,use_ambisonics_encode,Usar codificación de ambisónicos
